dataset,analysis,predictor,reference_predictor,difference,ci_lower,ci_upper,ci_excludes_zero
test-other,utterance_pooled_spearman,sdrift_layer_4,lsd_db,0.052700274381137335,0.02030160743456367,0.08410135797877072,True
test-other,utterance_pooled_spearman,sdrift_layer_5,lsd_db,0.05276434633115523,0.017754347728146144,0.08659042104901217,True
test-other,utterance_pooled_spearman,sdrift_layer_6,lsd_db,0.054113457097020035,0.018080652949696404,0.08885278635364846,True
test-other,utterance_pooled_spearman,sdrift_layer_7,lsd_db,0.05816330317353774,0.022326313386709568,0.09411053242614435,True
test-other,utterance_pooled_spearman,sdrift_layer_8,lsd_db,0.06250292701996707,0.025857237796610706,0.09895054262566653,True
test-other,utterance_pooled_spearman,sdrift_layer_9,lsd_db,0.06647238603399558,0.029802432588302848,0.10311126678609162,True
test-other,utterance_pooled_spearman,sdrift_layer_10,lsd_db,0.06889221270990148,0.03026073883547808,0.107592789264504,True
test-other,utterance_pooled_spearman,sdrift_layer_11,lsd_db,0.09358388430066072,0.05879240748537134,0.12955120375383375,True
test-other,utterance_pooled_spearman,sdrift_layer_12,lsd_db,0.10168814074039301,0.06783671568841391,0.13537663244138257,True
test-other,within_condition_mean_spearman,spectral_distortion,lsd_db,-0.008787609371814716,-0.027544547605973243,0.006549215292274932,False
test-other,within_condition_mean_spearman,bandwidth_loss_hz,lsd_db,-0.04113737360375736,-0.10256016343519526,0.024742675907550565,False
test-other,within_condition_mean_spearman,hf_power_loss_db,lsd_db,0.02726636300372126,-0.05085957672005228,0.10911629105336325,False
test-other,within_condition_mean_spearman,sdrift_conv,lsd_db,-0.019161774169918485,-0.08986661200334783,0.052578549996768066,False
test-other,within_condition_mean_spearman,sdrift_layer_1,lsd_db,0.0027997531835092515,-0.06347440764158009,0.07270606709879787,False
test-other,within_condition_mean_spearman,sdrift_layer_2,lsd_db,0.008902283876300453,-0.056222087613809625,0.07863011355588581,False
test-other,within_condition_mean_spearman,sdrift_layer_3,lsd_db,0.022081523175657043,-0.043321118229496636,0.09217232228212317,False
test-other,within_condition_mean_spearman,sdrift_layer_4,lsd_db,0.025416843057897084,-0.046467154976947,0.10011532885099836,False
test-other,within_condition_mean_spearman,sdrift_layer_5,lsd_db,0.03897396460475643,-0.040612789510812895,0.12219347360134435,False
test-other,within_condition_mean_spearman,sdrift_layer_6,lsd_db,0.053152684228806014,-0.02225386722714305,0.13280813928481602,False
test-other,within_condition_mean_spearman,sdrift_layer_7,lsd_db,0.07105244174635095,-0.005620447879046016,0.1514386386875295,False
test-other,within_condition_mean_spearman,sdrift_layer_8,lsd_db,0.09030784379273338,0.014210375085800055,0.17151721793264957,True
test-other,within_condition_mean_spearman,sdrift_layer_9,lsd_db,0.10201515045615775,0.02607866559005231,0.18462778448450434,True
test-other,within_condition_mean_spearman,sdrift_layer_10,lsd_db,0.1121538056896193,0.034173876230601516,0.19573338121187778,True
test-other,within_condition_mean_spearman,sdrift_layer_11,lsd_db,0.168089002934915,0.09857435647094817,0.24436019228915673,True
test-other,within_condition_mean_spearman,sdrift_layer_12,lsd_db,0.19304281892014696,0.12159569588740753,0.2628576782903864,True
