dataset,codec,bitrate,predictor,spearman
test-other,mp3,128k,sdrift_layer_1,-0.05355821742192214
test-other,mp3,128k,sdrift_layer_2,-0.05644787995070116
test-other,mp3,128k,sdrift_layer_3,-0.05825237526065536
test-other,mp3,128k,sdrift_layer_4,-0.07068184154690763
test-other,mp3,128k,sdrift_layer_5,-0.0686049596165422
test-other,mp3,128k,sdrift_layer_6,-0.0545235423242123
test-other,mp3,128k,sdrift_layer_7,-0.04028015822889412
test-other,mp3,128k,sdrift_layer_8,-0.025011567341646484
test-other,mp3,128k,sdrift_layer_9,-0.02214154270026307
test-other,mp3,128k,sdrift_layer_10,-0.017430290777261475
test-other,mp3,128k,sdrift_layer_11,0.0177387993329466
test-other,mp3,128k,sdrift_layer_12,0.07127036790578606
test-other,mp3,64k,lsd_db,-0.051685327546601864
test-other,mp3,64k,spectral_distortion,-0.05576632311559657
test-other,mp3,64k,bandwidth_loss_hz,-0.011896506501952071
test-other,mp3,64k,hf_power_loss_db,-0.005851173805598138
test-other,mp3,64k,sdrift_conv,-0.11727416443167478
test-other,mp3,64k,sdrift_layer_1,-0.12415142198030123
test-other,mp3,64k,sdrift_layer_2,-0.11880819295688501
test-other,mp3,64k,sdrift_layer_3,-0.12137996890087549
test-other,mp3,64k,sdrift_layer_4,-0.13543707856291168
test-other,mp3,64k,sdrift_layer_5,-0.12387917215866712
test-other,mp3,64k,sdrift_layer_6,-0.10053940486641685
test-other,mp3,64k,sdrift_layer_7,-0.09273151731253754
test-other,mp3,64k,sdrift_layer_8,-0.07027289721269332
test-other,mp3,64k,sdrift_layer_9,-0.06670058865679708
test-other,mp3,64k,sdrift_layer_10,-0.0602444608948821
test-other,mp3,64k,sdrift_layer_11,-0.054032203913185
test-other,mp3,64k,sdrift_layer_12,0.013448294833935014
test-other,mp3,32k,lsd_db,-0.02400350922067035
test-other,mp3,32k,spectral_distortion,-0.02237953627343069
test-other,mp3,32k,bandwidth_loss_hz,-0.004908934351407084
test-other,mp3,32k,hf_power_loss_db,0.03066579349687393
test-other,mp3,32k,sdrift_conv,-0.05192363797841315
test-other,mp3,32k,sdrift_layer_1,-0.0423171298345085
test-other,mp3,32k,sdrift_layer_2,-0.035157947445710394
test-other,mp3,32k,sdrift_layer_3,-0.018686610774553532
test-other,mp3,32k,sdrift_layer_4,-0.00048087935335822834
test-other,mp3,32k,sdrift_layer_5,0.007640694894695315
test-other,mp3,32k,sdrift_layer_6,0.004828737838560275
test-other,mp3,32k,sdrift_layer_7,0.010687424912285566
test-other,mp3,32k,sdrift_layer_8,0.02212481900699749
test-other,mp3,32k,sdrift_layer_9,0.024377195849178614
test-other,mp3,32k,sdrift_layer_10,0.035883476940131984
test-other,mp3,32k,sdrift_layer_11,0.09115484440699599
test-other,mp3,32k,sdrift_layer_12,0.12857251326433972
test-other,mp3,24k,lsd_db,0.038069035954627545
test-other,mp3,24k,spectral_distortion,0.041999889101663745
test-other,mp3,24k,bandwidth_loss_hz,-0.03616098674173662
test-other,mp3,24k,hf_power_loss_db,0.055983843477788835
test-other,mp3,24k,sdrift_conv,0.02849949694376618
test-other,mp3,24k,sdrift_layer_1,0.048135348280340155
test-other,mp3,24k,sdrift_layer_2,0.058024668863507836
test-other,mp3,24k,sdrift_layer_3,0.07786331451072999
test-other,mp3,24k,sdrift_layer_4,0.07729204050706333
test-other,mp3,24k,sdrift_layer_5,0.10844083112233191
test-other,mp3,24k,sdrift_layer_6,0.13040316767632576
test-other,mp3,24k,sdrift_layer_7,0.15423337755623134
test-other,mp3,24k,sdrift_layer_8,0.17649696737797385
test-other,mp3,24k,sdrift_layer_9,0.18527323397871337
test-other,mp3,24k,sdrift_layer_10,0.20306221121288573
test-other,mp3,24k,sdrift_layer_11,0.2607775085738129
test-other,mp3,24k,sdrift_layer_12,0.262739016944382
test-other,mp3,16k,lsd_db,0.02537420485477525
test-other,mp3,16k,spectral_distortion,0.01194495753906077
test-other,mp3,16k,bandwidth_loss_hz,-0.037240966979482946
test-other,mp3,16k,hf_power_loss_db,0.11426403903869922
test-other,mp3,16k,sdrift_conv,0.06015019905971541
test-other,mp3,16k,sdrift_layer_1,0.08643816886535022
test-other,mp3,16k,sdrift_layer_2,0.10212411432936731
test-other,mp3,16k,sdrift_layer_3,0.12151669625785166
test-other,mp3,16k,sdrift_layer_4,0.12446672379005952
test-other,mp3,16k,sdrift_layer_5,0.14346908404212286
test-other,mp3,16k,sdrift_layer_6,0.17235863371672988
test-other,mp3,16k,sdrift_layer_7,0.21704230677510541
test-other,mp3,16k,sdrift_layer_8,0.266330687886077
test-other,mp3,16k,sdrift_layer_9,0.3035415535868583
test-other,mp3,16k,sdrift_layer_10,0.3222144241245712
test-other,mp3,16k,sdrift_layer_11,0.3865359007844419
test-other,mp3,16k,sdrift_layer_12,0.3856374600352564
test-other,opus,64k,lsd_db,0.04103460861396889
test-other,opus,64k,spectral_distortion,0.04567611679241981
test-other,opus,64k,bandwidth_loss_hz,
test-other,opus,64k,hf_power_loss_db,0.10427793382002172
test-other,opus,64k,sdrift_conv,-0.03308584579965603
test-other,opus,64k,sdrift_layer_1,-0.023452594527883678
test-other,opus,64k,sdrift_layer_2,-0.03875267041861501
test-other,opus,64k,sdrift_layer_3,-0.03819434743426922
test-other,opus,64k,sdrift_layer_4,-0.05143522341392469
test-other,opus,64k,sdrift_layer_5,-0.05312986282223571
test-other,opus,64k,sdrift_layer_6,-0.07455878613902202
test-other,opus,64k,sdrift_layer_7,-0.0776455805084398
test-other,opus,64k,sdrift_layer_8,-0.08030721017174766
test-other,opus,64k,sdrift_layer_9,-0.07921362043583609
test-other,opus,64k,sdrift_layer_10,-0.08400129286490496
test-other,opus,64k,sdrift_layer_11,-0.03762481632450962
test-other,opus,64k,sdrift_layer_12,0.030535531807864034
test-other,opus,32k,lsd_db,0.005128503063899801
test-other,opus,32k,spectral_distortion,-0.012261690115739335
test-other,opus,32k,bandwidth_loss_hz,
test-other,opus,32k,hf_power_loss_db,0.04000028950940248
test-other,opus,32k,sdrift_conv,-0.049890517133730376
test-other,opus,32k,sdrift_layer_1,-0.03809688362810802
test-other,opus,32k,sdrift_layer_2,-0.039173560987553306
test-other,opus,32k,sdrift_layer_3,-0.035649645405120584
test-other,opus,32k,sdrift_layer_4,-0.04391648836513062
test-other,opus,32k,sdrift_layer_5,-0.04497901436748938
test-other,opus,32k,sdrift_layer_6,-0.030333256196232054
test-other,opus,32k,sdrift_layer_7,-0.018046873315262738
test-other,opus,32k,sdrift_layer_8,-0.012023312794086319
test-other,opus,32k,sdrift_layer_9,-0.01646465713714991
test-other,opus,32k,sdrift_layer_10,-0.023181789127147637
test-other,opus,32k,sdrift_layer_11,0.030190406706632936
test-other,opus,32k,sdrift_layer_12,0.06035346854563456
test-other,opus,16k,lsd_db,0.09081344574364181
test-other,opus,16k,spectral_distortion,0.08137030205254663
test-other,opus,16k,bandwidth_loss_hz,
test-other,opus,16k,hf_power_loss_db,0.09799194960214891
test-other,opus,16k,sdrift_conv,0.014819442671985934
test-other,opus,16k,sdrift_layer_1,0.05019089653866236
test-other,opus,16k,sdrift_layer_2,0.03288266010350876
test-other,opus,16k,sdrift_layer_3,0.044833091181464675
test-other,opus,16k,sdrift_layer_4,0.05805853579748528
test-other,opus,16k,sdrift_layer_5,0.07492052583581288
test-other,opus,16k,sdrift_layer_6,0.09243739458774342
test-other,opus,16k,sdrift_layer_7,0.1047805335451685
test-other,opus,16k,sdrift_layer_8,0.12025624945074748
test-other,opus,16k,sdrift_layer_9,0.13059116149404815
test-other,opus,16k,sdrift_layer_10,0.14170199978168194
test-other,opus,16k,sdrift_layer_11,0.169014796122056
test-other,opus,16k,sdrift_layer_12,0.15968072409033535
test-other,opus,12k,lsd_db,0.055933444708482556
test-other,opus,12k,spectral_distortion,0.04298122564174029
test-other,opus,12k,bandwidth_loss_hz,
test-other,opus,12k,hf_power_loss_db,-0.034276838378855326
test-other,opus,12k,sdrift_conv,-0.030154720516564634
test-other,opus,12k,sdrift_layer_1,0.011403935849192914
test-other,opus,12k,sdrift_layer_2,0.02456577151018057
test-other,opus,12k,sdrift_layer_3,0.050408924932094416
test-other,opus,12k,sdrift_layer_4,0.030428013363622927
test-other,opus,12k,sdrift_layer_5,0.0334122084169073
test-other,opus,12k,sdrift_layer_6,0.04090430425687166
test-other,opus,12k,sdrift_layer_7,0.05546499916143703
test-other,opus,12k,sdrift_layer_8,0.07051396184272705
test-other,opus,12k,sdrift_layer_9,0.07766583005703552
test-other,opus,12k,sdrift_layer_10,0.0968643459800198
test-other,opus,12k,sdrift_layer_11,0.19031534674094386
test-other,opus,12k,sdrift_layer_12,0.20904192704982677
test-other,opus,8k,lsd_db,0.09162486763385756
test-other,opus,8k,spectral_distortion,0.07128270347090251
test-other,opus,8k,bandwidth_loss_hz,0.03144407803904447
test-other,opus,8k,hf_power_loss_db,0.12971240514216525
test-other,opus,8k,sdrift_conv,0.19450617985283733
test-other,opus,8k,sdrift_layer_1,0.2582412955256287
test-other,opus,8k,sdrift_layer_2,0.28076066539251077
test-other,opus,8k,sdrift_layer_3,0.3031061220002566
test-other,opus,8k,sdrift_layer_4,0.3235765201100099
test-other,opus,8k,sdrift_layer_5,0.3320451978631036
test-other,opus,8k,sdrift_layer_6,0.34244618196396337
test-other,opus,8k,sdrift_layer_7,0.3675157474272434
test-other,opus,8k,sdrift_layer_8,0.38804846699314727
test-other,opus,8k,sdrift_layer_9,0.4123644289915865
test-other,opus,8k,sdrift_layer_10,0.41339324710338704
test-other,opus,8k,sdrift_layer_11,0.5216430380811811
test-other,opus,8k,sdrift_layer_12,0.5318456941892914
test-other,opus,6k,lsd_db,0.08428830356159643
test-other,opus,6k,spectral_distortion,0.05534729644739813
test-other,opus,6k,bandwidth_loss_hz,0.0361618951540823
test-other,opus,6k,hf_power_loss_db,0.11175443103129562
test-other,opus,6k,sdrift_conv,0.18495878179043465
test-other,opus,6k,sdrift_layer_1,0.22903212155832042
test-other,opus,6k,sdrift_layer_2,0.258975728405864
test-other,opus,6k,sdrift_layer_3,0.2883997880314738
test-other,opus,6k,sdrift_layer_4,0.33878318551702913
test-other,opus,6k,sdrift_layer_5,0.3904463116484508
test-other,opus,6k,sdrift_layer_6,0.43232433020872435
test-other,opus,6k,sdrift_layer_7,0.4716248334036927
test-other,opus,6k,sdrift_layer_8,0.5082983508887404
test-other,opus,6k,sdrift_layer_9,0.5439418941965304
test-other,opus,6k,sdrift_layer_10,0.5764982253135001
test-other,opus,6k,sdrift_layer_11,0.6443336459789177
test-other,opus,6k,sdrift_layer_12,0.6414142436611343
