dataset,codec,bitrate,corpus_delta_wer_pp,lsd_db,spectral_distortion,bandwidth_loss_hz,hf_power_loss_db,sdrift_conv,sdrift_layer_1,sdrift_layer_2,sdrift_layer_3,sdrift_layer_4,sdrift_layer_5,sdrift_layer_6,sdrift_layer_7,sdrift_layer_8,sdrift_layer_9,sdrift_layer_10,sdrift_layer_11,sdrift_layer_12
test-clean,opus,6k,2.2816679779701023,11.618488951683045,181.18448080444335,3332.0,15.253515321054994,0.40776914400000014,0.41425978,0.4481562879999999,0.41926209800000014,0.351646926,0.26223872199999976,0.21607541399999974,0.18376641680000005,0.15927458199999983,0.13507394319999996,0.11590227599999994,0.12113645279999993,0.12986816539999996
test-clean,wav,uncompressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test-other,mp3,128k,0.23931623931623933,3.2123598918914795,22.616148112773896,710.3125,0.9398976371219364,0.012538953965999999,0.011788606692000004,0.011647246865999994,0.01098726688400001,0.010102238844000013,0.009708066086000009,0.010237216504000009,0.01006618033599999,0.010095948339999985,0.009511530566000001,0.008784264064800004,0.006045741926000004,0.008312780269999993
test-other,mp3,64k,0.27350427350427353,3.730057197809219,25.99027564394474,712.625,0.9270110675597446,0.017425214260000006,0.016654905700000007,0.016459152859999972,0.015514490220000008,0.013748283439999995,0.012679134460000002,0.013050887280000005,0.012698124880000012,0.012575420800000004,0.011723982923999994,0.010663238582000011,0.007750570473999999,0.01092207652
test-other,mp3,32k,0.6837606837606838,5.572669718503952,46.78235108947754,712.9375,0.664780915320007,0.0632858752,0.06644096,0.06767377380000004,0.06440502559999997,0.054956333799999986,0.044977362400000054,0.04248461779999998,0.03941369454000004,0.036678610520000016,0.03270356063999998,0.027839335899999998,0.025472811200000008,0.03452286187999998
test-other,mp3,24k,1.4245014245014245,8.09619177389145,104.90985491085053,2179.375,2.497602334209961,0.13209976080000008,0.14719126140000002,0.1639227776000001,0.15593441280000003,0.13766798959999998,0.11068988180000011,0.09953773200000007,0.09025464740000001,0.0810154788,0.07033250039999996,0.056430139200000076,0.05751262100000004,0.07007141100000001
test-other,mp3,16k,3.7378917378917382,10.285407364368439,159.66416300201416,2437.625,3.9084845384055225,0.2082250378,0.2396480716,0.26721334380000017,0.2576084501999999,0.22760483939999993,0.18314149080000017,0.1621357238,0.14618947019999987,0.1301848061999999,0.1126740105999999,0.09317894120000007,0.10339551059999999,0.11515725840000006
test-other,opus,64k,0.06837606837606838,1.5331660615205764,2.9537407448291777,0.0,0.4628524314363178,0.008738062579999997,0.008594775239999996,0.008000574159999996,0.007479895139999996,0.007536306279999996,0.008432023838000003,0.009653669971999998,0.009644744710000002,0.00996741032000001,0.00945651015600001,0.009319762152000012,0.004701780353999998,0.004934862153999996
test-other,opus,32k,0.10256410256410256,3.7216959311962126,16.857122578144075,0.0,2.851560412001308,0.047236441000000025,0.0393844772,0.03774343159999999,0.035770633600000004,0.033985568199999976,0.032006201,0.03247376086000002,0.03130140386000003,0.03069228803999999,0.028260847740000015,0.024792713480000002,0.015789390640000008,0.017921773100000028
test-other,opus,16k,0.6381766381766382,5.116430867195129,30.40305756378174,0.0,2.7952280124859654,0.10276704219999998,0.09328800020000007,0.09096170940000001,0.08473654439999999,0.07523628620000004,0.06358173679999997,0.05994306680000005,0.05604798719999997,0.053509554400000006,0.048435070360000006,0.04252468573999994,0.03198905467999997,0.037528685399999984
test-other,opus,12k,1.3333333333333335,5.596473620414734,35.7316464767456,0.0,1.7214192723375223,0.1464864340000001,0.14333727340000005,0.14499065679999995,0.1356959344000001,0.1190468184,0.09739135260000006,0.08941305039999996,0.08194054979999998,0.07601637500000001,0.067450038,0.05852052979999992,0.04990273620000002,0.0572389852
test-other,opus,8k,6.632478632478632,10.421149996757507,159.18030235671998,3330.3125,16.435852337561506,0.3530077419999997,0.3330521660000004,0.3680306279999999,0.36038883199999977,0.32356751999999983,0.2599788560000003,0.23092979699999996,0.20821654720000007,0.18867755439999997,0.16477905959999997,0.14292922680000023,0.14747170259999995,0.1527637486
test-other,opus,6k,11.532763532763534,10.648759445667267,162.0469071960449,3295.75,14.39965507790638,0.4250331579999999,0.4244086920000002,0.46708192000000015,0.454723438,0.4086549200000002,0.3331869900000004,0.2997937459999999,0.274249738,0.25037931420000015,0.21959001020000005,0.19590320960000004,0.21556328519999993,0.21375127459999987
test-other,wav,uncompressed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
