dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,1736,61,70968,55,opus,12k,48.148948669433594,6.8977861404418945,8000.0,-1.3741226379775908,0,0.0
test-clean,1736,61,70968,55,opus,8k,242.13339233398438,14.556184768676758,4312.5,-22.393501191704445,2,0.125
test-clean,1736,61,70968,55,opus,6k,242.3146514892578,14.569174766540527,4343.75,-20.711924897673025,2,0.125
test-clean,243,1284,1180,31,mp3,128k,11.80228328704834,2.6110458374023438,7281.25,-0.6623787109540287,0,0.0
test-clean,243,1284,1180,31,mp3,64k,15.588143348693848,3.327507495880127,7281.25,-0.6886374732834473,0,0.0
test-clean,243,1284,1180,31,mp3,32k,39.58632278442383,5.843926906585693,7281.25,-0.23050628876958523,0,0.0
test-clean,243,1284,1180,31,mp3,24k,113.39285278320312,9.743117332458496,5812.5,-4.444738480121921,0,0.0
test-clean,243,1284,1180,31,mp3,16k,165.79188537597656,11.858762741088867,5531.25,-6.776196928129362,0,0.0
test-clean,243,1284,1180,31,opus,64k,3.2835211753845215,1.7144660949707031,8000.0,-0.2976868678563338,0,0.0
test-clean,243,1284,1180,31,opus,32k,17.390317916870117,4.013662815093994,8000.0,-2.87122978486438,0,0.0
test-clean,243,1284,1180,31,opus,16k,33.44026184082031,5.650040149688721,8000.0,-3.195944931419157,0,0.0
test-clean,243,1284,1180,31,opus,12k,39.72376251220703,6.179874420166016,8000.0,-1.9206522390500769,0,0.0
test-clean,243,1284,1180,31,opus,8k,168.5034637451172,11.908336639404297,4468.75,-24.6529253473371,2,0.125
test-clean,243,1284,1180,31,opus,6k,172.5122528076172,12.10910701751709,4500.0,-23.137669091094235,2,0.125
test-clean,468,1995,1836,2,mp3,128k,20.01416778564453,3.5795228481292725,7281.25,-0.7504852910772998,0,0.0
test-clean,468,1995,1836,2,mp3,64k,24.024259567260742,4.059052467346191,7281.25,-0.7375127457285463,0,0.0
test-clean,468,1995,1836,2,mp3,32k,48.96405029296875,6.089249134063721,7281.25,-0.09039894893387634,0,0.0
test-clean,468,1995,1836,2,mp3,24k,118.95101928710938,9.26486873626709,5812.5,-2.5141334236885307,0,0.0
test-clean,468,1995,1836,2,mp3,16k,168.60475158691406,11.064248085021973,5531.25,-4.542962606787869,0,0.0
test-clean,468,1995,1836,2,opus,64k,4.0893635749816895,1.8153899908065796,8000.0,-0.38828589947727893,0,0.0
test-clean,468,1995,1836,2,opus,32k,17.265399932861328,3.750913143157959,8000.0,-3.1544678741640557,0,0.0
test-clean,468,1995,1836,2,opus,16k,31.56292724609375,5.087777137756348,8000.0,-2.817396855318988,0,0.0
test-clean,468,1995,1836,2,opus,12k,36.387088775634766,5.4783034324646,8000.0,-0.4446148432014324,0,0.0
test-clean,468,1995,1836,2,opus,8k,153.8577117919922,10.503236770629883,4718.75,-16.258040017313853,2,0.125
test-clean,468,1995,1836,2,opus,6k,158.62759399414062,10.75080394744873,4906.25,-13.379756973755033,2,0.125
test-clean,1715,61,70968,34,mp3,128k,23.278926849365234,3.869205951690674,7281.25,-0.5643667754532049,0,0.0
test-clean,1715,61,70968,34,mp3,64k,27.23996925354004,4.4065022468566895,7281.25,-0.5375402170312196,0,0.0
test-clean,1715,61,70968,34,mp3,32k,51.47064208984375,6.5500264167785645,7281.25,-0.22932121349623355,0,0.0
test-clean,1715,61,70968,34,mp3,24k,122.71917724609375,9.909819602966309,5812.5,-1.1399276855272946,0,0.0
test-clean,1715,61,70968,34,mp3,16k,195.01712036132812,12.622535705566406,5562.5,-1.805916837771914,0,0.0
test-clean,1715,61,70968,34,opus,64k,3.498467445373535,1.7841657400131226,8000.0,-0.1727348183942942,0,0.0
test-clean,1715,61,70968,34,opus,32k,21.35037612915039,4.468888282775879,8000.0,-2.577243848046005,0,0.0
test-clean,1715,61,70968,34,opus,16k,37.077518463134766,5.967728614807129,8000.0,-2.2273575003258372,0,0.0
test-clean,1715,61,70968,34,opus,12k,42.163856506347656,6.387942790985107,8000.0,-1.5619895023141632,0,0.0
test-clean,1715,61,70968,34,opus,8k,178.60165405273438,12.17508316040039,4531.25,-15.407806162089559,2,0.125
test-clean,1715,61,70968,34,opus,6k,179.160888671875,12.262850761413574,4750.0,-12.790583055152478,2,0.125
test-clean,101,1188,133604,37,mp3,128k,31.541013717651367,4.2875471115112305,7281.25,-1.0312319577890736,0,0.0
test-clean,101,1188,133604,37,mp3,64k,36.12106704711914,4.810495853424072,7281.25,-1.037096217339473,0,0.0
test-clean,101,1188,133604,37,mp3,32k,59.425228118896484,6.627468109130859,7281.25,-0.6919740707547304,0,0.0
test-clean,101,1188,133604,37,mp3,24k,116.279541015625,9.04798412322998,5812.5,-1.0162306992995354,0,0.0
test-clean,101,1188,133604,37,mp3,16k,188.47633361816406,11.704636573791504,5562.5,-2.231024454819142,0,0.0
test-clean,101,1188,133604,37,opus,64k,2.4655792713165283,1.446807622909546,8000.0,-0.4179769111461643,0,0.0
test-clean,101,1188,133604,37,opus,32k,18.0967960357666,3.969860315322876,8000.0,-2.9568004424695364,0,0.0
test-clean,101,1188,133604,37,opus,16k,31.563570022583008,5.344047546386719,8000.0,-2.876918284993231,0,0.0
test-clean,101,1188,133604,37,opus,12k,36.70838165283203,5.811637878417969,8000.0,-1.6597531695649748,0,0.0
test-clean,101,1188,133604,37,opus,8k,187.18606567382812,11.709975242614746,4343.75,-20.257810954827733,2,0.125
test-clean,101,1188,133604,37,opus,6k,189.59901428222656,11.931143760681152,4406.25,-17.660820290625377,2,0.125
test-clean,1636,5683,32866,12,mp3,128k,13.574532508850098,2.33737850189209,7281.25,-1.1748183585279064,0,0.0
test-clean,1636,5683,32866,12,mp3,64k,17.017717361450195,2.942190408706665,7281.25,-1.1769649161019222,0,0.0
