dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-clean,mp3,128k,layer_1,0.9928758898973465,0.9930243194103241,0.0031678653602918152,0.007124110102653503,0.006975680589675903,0.0031678653602918356,0.00959580159187317,0.009389013051986694,0.004107649432757624
test-clean,mp3,64k,layer_1,0.9880360891819,0.9880039393901825,0.003503151103561277,0.011963910818099976,0.011996060609817505,0.0035031511035612892,0.016365052580833435,0.01652151346206665,0.004545179746127324
test-clean,mp3,32k,layer_1,0.9426845684051514,0.9429681897163391,0.01087391892696752,0.057315431594848636,0.05703181028366089,0.010873918926967516,0.07943058109283448,0.07939457893371582,0.014508424930850082
test-clean,mp3,24k,layer_1,0.8841772947311402,0.8837551176548004,0.019664853418216624,0.11582270526885986,0.11624488234519958,0.01966485341821664,0.15940149593353273,0.16151732206344604,0.0248942550858637
test-clean,mp3,16k,layer_1,0.8042212629318237,0.804367184638977,0.02834562538108607,0.19577873706817628,0.19563281536102295,0.02834562538108609,0.2640417000055313,0.2651232182979584,0.034530661975261556
test-clean,opus,64k,layer_1,0.9953779200315476,0.9961429536342621,0.0035609309532224124,0.004622079968452454,0.003857046365737915,0.003560930953222402,0.0065261186361312866,0.005439400672912598,0.0049487106815514145
test-clean,opus,32k,layer_1,0.9755252329111099,0.9767206907272339,0.006216224558010753,0.024474767088890077,0.023279309272766113,0.006216224558010757,0.03342560493946076,0.03228837251663208,0.0077855157942217194
test-clean,opus,16k,layer_1,0.9375059059858322,0.9382869899272919,0.010171890603395042,0.062494094014167785,0.06171301007270813,0.01017189060339504,0.08708065640926362,0.08648404479026794,0.012467319624930464
test-clean,opus,12k,layer_1,0.9021315305233002,0.9027364253997803,0.01413649638610893,0.09786846947669983,0.09726357460021973,0.01413649638610892,0.13636274206638335,0.13659530878067017,0.017204503296994803
test-clean,opus,8k,layer_1,0.754701544046402,0.7573396265506744,0.03227611163445641,0.24529845595359803,0.24266037344932556,0.03227611163445641,0.32290148043632505,0.32301753759384155,0.03588601916487631
test-clean,opus,6k,layer_1,0.685810229063034,0.6890849769115448,0.03359517143607277,0.31418977093696593,0.3109150230884552,0.033595171436072775,0.41425978535413743,0.41012129187583923,0.03713632802913833
test-other,mp3,128k,layer_1,0.9911644414663315,0.99208664894104,0.004759620004362687,0.008835558533668518,0.007913351058959961,0.0047596200043626795,0.01178860640525818,0.010795414447784424,0.006230943947309222
test-other,mp3,64k,layer_1,0.9876582115888596,0.9883624911308289,0.004902416322274803,0.012341788411140442,0.011637508869171143,0.004902416322274789,0.016654907464981078,0.015862315893173218,0.006430306748049136
test-other,mp3,32k,layer_1,0.9514818218946457,0.9522893130779266,0.010928056410601596,0.04851817810535431,0.047710686922073364,0.010928056410601588,0.06644095945358276,0.06573483347892761,0.014748234617788241
test-other,mp3,24k,layer_1,0.8911943145990372,0.8925575315952301,0.027043350171752824,0.10880568540096283,0.1074424684047699,0.027043350171752828,0.14719125890731813,0.14476636052131653,0.036202354645876775
test-other,mp3,16k,layer_1,0.818916200876236,0.8183249533176422,0.04087956848685164,0.18108379912376404,0.1816750466823578,0.04087956848685162,0.23964809596538544,0.23838546872138977,0.05213214276226533
test-other,opus,64k,layer_1,0.9936958196163177,0.995925784111023,0.008207063125455504,0.006304180383682251,0.004074215888977051,0.008207063125455485,0.00859477460384369,0.005582958459854126,0.010740328225349071
test-other,opus,32k,layer_1,0.970630538225174,0.9730525612831116,0.01151747598186845,0.02936946177482605,0.026947438716888428,0.011517475981868433,0.03938447749614716,0.03627508878707886,0.014522853285715375
test-other,opus,16k,layer_1,0.9318309092521667,0.9331365525722504,0.01514085196215406,0.06816909074783326,0.06686344742774963,0.015140851962154043,0.09328799223899842,0.09073889255523682,0.018798045389672547
test-other,opus,12k,layer_1,0.8952875250577926,0.8975506126880646,0.01901845965882779,0.10471247494220734,0.10244938731193542,0.01901845965882783,0.14333727741241456,0.14010944962501526,0.023387908995302683
test-other,opus,8k,layer_1,0.7418806157112121,0.7419819235801697,0.04547356914258752,0.25811938428878783,0.2580180764198303,0.0454735691425875,0.33305217456817626,0.3324289917945862,0.052826262575625504
test-other,opus,6k,layer_1,0.6715278986692429,0.6714010238647461,0.04652152708017413,0.32847210133075716,0.3285989761352539,0.046521527080174124,0.4244086862206459,0.4237181842327118,0.05377427946692521
test-clean,mp3,128k,layer_2,0.9936021046638489,0.9938070774078369,0.0029782109307724845,0.006397895336151123,0.006192922592163086,0.0029782109307724836,0.009152947068214417,0.008917123079299927,0.004150463150031592
test-clean,mp3,64k,layer_2,0.9892346097230911,0.9892405867576599,0.003320711519957773,0.010765390276908874,0.010759413242340088,0.0033207115199577644,0.015750427126884462,0.01569831371307373,0.004654912381374925
test-clean,mp3,32k,layer_2,0.9472134284973145,0.9471160769462585,0.010323314152604082,0.05278657150268555,0.052883923053741455,0.01032331415260408,0.07877111661434173,0.0786513090133667,0.01469847706446564
test-clean,mp3,24k,layer_2,0.8858655635118484,0.8866990506649017,0.02207704829447321,0.11413443648815155,0.11330094933509827,0.022077048294473205,0.16888051056861877,0.16847187280654907,0.030048902645917048
test-clean,mp3,16k,layer_2,0.8058092421293259,0.8071743547916412,0.030666110456635254,0.19419075787067414,0.19282564520835876,0.030666110456635236,0.28263862919807436,0.28140926361083984,0.039608194179213886
test-clean,opus,64k,layer_2,0.9959741283655167,0.9967715442180634,0.003828272134688084,0.004025871634483338,0.0032284557819366455,0.0038282721346880825,0.0058411996364593505,0.004694342613220215,0.005476307637445838
test-clean,opus,32k,layer_2,0.9782471107244491,0.9794153869152069,0.006444599326884358,0.021752889275550844,0.02058461308479309,0.006444599326884356,0.031054746270179748,0.029636025428771973,0.008597435002311136
