dataset,codec,bitrate,condition,measured_bitrate_kbps,compression_ratio,wer_percent,delta_wer_pp,substitutions,deletions,insertions,reference_words,num_speakers,ci_lower_pp,ci_upper_pp,ci_excludes_zero,ci_utterance_lower_pp,ci_utterance_upper_pp,delta_substitutions,delta_deletions,delta_insertions,lsd_db,dspec_db2,retained_bandwidth_khz,hf_power_change_db,mean_delay_samples,sdrift_conv,sdrift_layer_1,sdrift_layer_6,sdrift_layer_12,raw_drift_layer_12
test-clean,opus,8k,Opus 8k,8.13442004762532,31.41210517092396,4.317466561762392,1.1506687647521718,372,32,35,10168,40.0,0.8242825924251422,1.4844840095998213,True,0.8142493638676844,1.512055578259093,104.0,14.0,-1.0,11.433259075164797,178.88012836456298,4.616125,-17.341605532637764,1.992,0.334571684718132,0.322901480436325,0.1626619613170623,0.0857598832845687,0.0400118256807327
test-clean,opus,6k,Opus 6k,6.319358363919817,40.28048930230553,5.44846577498033,2.2816679779701103,467,45,42,10168,40.0,1.8217424397725288,2.796837052082179,True,1.8572432486698127,2.7569169960474307,199.0,27.0,6.0,11.618488951683045,181.18448080444333,4.668,-15.253515321055,1.974,0.4077691238522529,0.4142597853541374,0.2160754348039627,0.1298681749105453,0.0629377484321594
test-other,wav,uncompressed,WAV,256.09595231538947,1.0,8.262108262108262,1.3877787807814457e-15,596,62,67,8775,,,,,,,,,,,,,,,,,,,
test-other,mp3,128k,MP3 128k,130.54011366120693,1.9456464877970188,8.5014245014245,0.23931623931624096,607,69,70,8775,33.0,0.022028747927319976,0.47340012509090423,True,0.0469759248385215,0.4314868804664723,11.0,7.0,3.0,3.2123598918914795,22.616148112773896,7.2896875,-0.9398976371219372,0.0,0.0125389529466629,0.0117886064052581,0.0102372168302536,0.0083127807378768,0.0036436618566513
test-other,mp3,64k,MP3 64k,65.29773538311973,3.888972120154068,8.535612535612536,0.2735042735042756,610,70,69,8775,33.0,0.057506026608194635,0.50388932290717,True,0.0612219909391462,0.4859193815571511,14.0,8.0,2.0,3.730057197809219,25.99027564394474,7.287375,-0.9270110675597448,0.0,0.0174252132177352,0.016654907464981,0.0130508847236633,0.0109220774173736,0.004825072646141
test-other,mp3,32k,MP3 32k,32.72083192810216,7.753920726677046,8.945868945868945,0.6837606837606856,644,72,69,8775,33.0,0.2244900575208844,1.149971754386419,True,0.3297170814720279,1.0420206138860575,48.0,10.0,2.0,5.572669718503952,46.78235108947754,7.2870625,-0.664780915320007,0.0,0.0632858761548996,0.0664409594535827,0.0424846158027648,0.0345228632688522,0.016025540113449
test-other,mp3,24k,MP3 24k,24.609820327367284,10.297861895813302,9.686609686609685,1.4245014245014258,705,73,72,8775,33.0,0.8857134327725176,1.9921170113753859,True,0.9898737057685748,1.9086050823426763,109.0,11.0,5.0,8.09619177389145,104.90985491085053,5.820625,-2.4976023342099607,0.0,0.1320997703075409,0.1471912589073181,0.0995377190113067,0.0700714091062545,0.0341173584461212
test-other,mp3,16k,MP3 16k,16.49880872663241,15.326509502613956,12.0,3.7378917378917396,878,103,72,8775,33.0,2.785940558870442,4.710948202861137,True,3.067878140032068,4.429420678400746,282.0,41.0,5.0,10.28540736436844,159.66416300201416,5.562375,-3.9084845384055233,0.0,0.2082250410318374,0.2396480959653854,0.1621357269287109,0.1151572501659393,0.059377013683319
test-other,opus,64k,Opus 64k,70.58481129435629,3.6392443179240974,8.33048433048433,0.06837606837607063,599,63,69,8775,33.0,-0.09457382669346255,0.23970841524702138,False,-0.0716674629718111,0.2140845070422531,3.0,1.0,2.0,1.5331660615205764,2.9537407448291777,8.0,-0.4628524314363177,0.0,0.0087380625009536,0.0085947746038436,0.0096536705493927,0.0049348626136779,0.0020265705585479
test-other,opus,32k,Opus 32k,31.136299994914037,8.336132524328656,8.364672364672366,0.10256410256410525,606,61,67,8775,33.0,-0.14447822802862822,0.31815127228060575,False,-0.1479121629309354,0.3663003663003664,10.0,-1.0,0.0,3.721695931196213,16.857122578144075,8.0,-2.851560412001309,0.0,0.047236437678337,0.0393844774961471,0.0324737604856491,0.0179217715263366,0.0076881591081619
test-other,opus,16k,Opus 16k,16.00265898627838,16.075393709093834,8.9002849002849,0.6381766381766407,653,67,61,8775,33.0,0.3042122788826138,0.971350392547462,True,0.3053435114503816,0.9747706422018344,57.0,5.0,-6.0,5.116430867195129,30.40305756378174,8.0,-2.7952280124859628,0.0,0.1027670367956161,0.0932879922389984,0.0599430767297744,0.0375286879539489,0.0171206845045089
test-other,opus,12k,Opus 12k,12.250419089805394,20.92408015851412,9.595441595441596,1.333333333333335,699,72,71,8775,33.0,0.8462737880679224,1.82313778846112,True,0.8702622237489979,1.8207901125579335,103.0,10.0,4.0,5.596473620414734,35.7316464767456,8.0,-1.7214192723375212,0.0,0.1464864515066146,0.1433372774124145,0.0894130425453186,0.0572389928102493,0.0275597776174545
test-other,opus,8k,Opus 8k,8.120966038377611,31.517397630148967,14.894586894586896,6.632478632478635,1088,123,96,8775,33.0,4.922670207587689,8.604703010448185,True,5.714612918002748,7.616936894902601,492.0,61.0,29.0,10.421149996757508,159.18030235671998,4.6696875,-16.435852337561496,1.994,0.3530077234506607,0.3330521745681762,0.2309297618865966,0.1527637399435043,0.0800851436853408
test-other,opus,6k,Opus 6k,6.340000033060486,40.23248337992786,19.794871794871796,11.532763532763536,1454,178,105,8775,33.0,9.067283049070582,14.179369665569682,True,10.296222882942407,12.827748383303938,858.0,116.0,38.0,10.648759445667269,162.0469071960449,4.70425,-14.399655077906402,1.958,0.4250331596136093,0.4244086862206459,0.2997937678098679,0.2137512658834457,0.1174094694852829
